K0-2533	 U+2163
K0-2534	 U+2164
K0-2535	 U+2165
K0-2536	 U+2166
K0-2537	 U+2167
K0-2538	 U+2168
K0-2539	 U+2169
K0-2541	 U+0391
K0-2542	 U+0392
K0-2543	 U+0393
K0-2544	 U+0394
K0-2545	 U+0395
K0-2546	 U+0396
K0-2547	 U+0397
K0-2548	 U+0398
K0-2549	 U+0399
K0-254A	 U+039A
K0-254B	 U+039B
K0-254C	 U+039C
K0-254D	 U+039D
K0-254E	 U+039E
K0-254F	 U+039F
K0-2550	 U+03A0
K0-2551	 U+03A1
K0-2552	 U+03A3
K0-2553	 U+03A4
K0-2554	 U+03A5
K0-2555	 U+03A6
K0-2556	 U+03A7
K0-2557	 U+03A8
K0-2558	 U+03A9
K0-2561	 U+03B1
K0-2562	 U+03B2
K0-2563	 U+03B3
K0-2564	 U+03B4
K0-2565	 U+03B5
K0-2566	 U+03B6
K0-2567	 U+03B7
K0-2568	 U+03B8
K0-2569	 U+03B9
K0-256A	 U+03BA
K0-256B	 U+03BB
K0-256C	 U+03BC
K0-256D	 U+03BD
K0-256E	 U+03BE
K0-256F	 U+03BF
K0-2570	 U+03C0
K0-2571	 U+03C1
K0-2572	 U+03C3
K0-2573	 U+03C4
K0-2574	 U+03C5
K0-2575	 U+03C6
K0-2576	 U+03C7
K0-2577	 U+03C8
K0-2578	 U+03C9
K0-2621	 U+2500
K0-2622	 U+2502
K0-2623	 U+250C
K0-2624	 U+2510
K0-2625	 U+2518
K0-2626	 U+2514
K0-2627	 U+251C
K0-2628	 U+252C
K0-2629	 U+2524
K0-262A	 U+2534
K0-262B	 U+253C
K0-262C	 U+2501
K0-262D	 U+2503
K0-262E	 U+250F
K0-262F	 U+2513
K0-2630	 U+251B
K0-2631	 U+2517
K0-2632	 U+2523
K0-2633	 U+2533
K0-2634	 U+252B
K0-2635	 U+253B
K0-2636	 U+254B
K0-2637	 U+2520
K0-2638	 U+252F
K0-2639	 U+2528
K0-263A	 U+2537
K0-263B	 U+253F
K0-263C	 U+251D
K0-263D	 U+2530
K0-263E	 U+2525
K0-263F	 U+2538
K0-2640	 U+2542
K0-2641	 U+2512
K0-2642	 U+2511
K0-2643	 U+251A
K0-2644	 U+2519
K0-2645	 U+2516
K0-2646	 U+2515
K0-2647	 U+250E
K0-2648	 U+250D
K0-2649	 U+251E
K0-264A	 U+251F
K0-264B	 U+2521
K0-264C	 U+2522
K0-264D	 U+2526
K0-264E	 U+2527
K0-264F	 U+2529
K0-2650	 U+252A
K0-2651	 U+252D
K0-2652	 U+252E
K0-2653	 U+2531
K0-2654	 U+2532
K0-2655	 U+2535
K0-2656	 U+2536
K0-2657	 U+2539
K0-2658	 U+253A
K0-2659	 U+253D
K0-265A	 U+253E
K0-265B	 U+2540
K0-265C	 U+2541
K0-265D	 U+2543
K0-265E	 U+2544
K0-265F	 U+2545
K0-2660	 U+2546
K0-2661	 U+2547
K0-2662	 U+2548
K0-2663	 U+2549
K0-2664	 U+254A
K0-2721	 U+3395
K0-2722	 U+3396
K0-2723	 U+3397
K0-2724	 U+2113
K0-2725	 U+3398
K0-2726	 U+33C4
K0-2727	 U+33A3
K0-2728	 U+33A4
K0-2729	 U+33A5
K0-272A	 U+33A6
K0-272B	 U+3399
K0-272C	 U+339A
K0-272D	 U+339B
K0-272E	 U+339C
K0-272F	 U+339D
K0-2730	 U+339E
K0-2731	 U+339F
K0-2732	 U+33A0
K0-2733	 U+33A1
K0-2734	 U+33A2
K0-2735	 U+33CA
K0-2736	 U+338D
K0-2737	 U+338E
K0-2738	 U+338F
K0-2739	 U+33CF
K0-273A	 U+3388
K0-273B	 U+3389
K0-273C	 U+33C8
K0-273D	 U+33A7
K0-273E	 U+33A8
K0-273F	 U+33B0
K0-2740	 U+33B1
K0-2741	 U+33B2
K0-2742	 U+33B3
K0-2743	 U+33B4
K0-2744	 U+33B5
K0-2745	 U+33B6
K0-2746	 U+33B7
K0-2747	 U+33B8
K0-2748	 U+33B9
K0-2749	 U+3380
K0-274A	 U+3381
K0-274B	 U+3382
K0-274C	 U+3383
K0-274D	 U+3384
K0-274E	 U+33BA
K0-274F	 U+33BB
K0-2750	 U+33BC
K0-2751	 U+33BD
K0-2752	 U+33BE
K0-2753	 U+33BF
K0-2754	 U+3390
K0-2755	 U+3391
K0-2756	 U+3392
K0-2757	 U+3393
K0-2758	 U+3394
K0-2759	 U+2126
K0-275A	 U+33C0
K0-275B	 U+33C1
K0-275C	 U+338A
K0-275D	 U+338B
K0-275E	 U+338C
K0-275F	 U+33D6
K0-2760	 U+33C5
K0-2761	 U+33AD
K0-2762	 U+33AE
K0-2763	 U+33AF
K0-2764	 U+33DB
K0-2765	 U+33A9
K0-2766	 U+33AA
K0-2767	 U+33AB
K0-2768	 U+33AC
K0-2769	 U+33DD
K0-276A	 U+33D0
K0-276B	 U+33D3
K0-276C	 U+33C3
K0-276D	 U+33C9
K0-276E	 U+33DC
K0-276F	 U+33C6
K0-2821	 U+00C6
K0-2822	 U+00D0
K0-2823	 U+00AA
K0-2824	 U+0126
K0-2826	 U+0132
K0-2828	 U+013F
K0-2829	 U+0141
K0-282A	 U+00D8
K0-282B	 U+0152
K0-282C	 U+00BA
K0-282D	 U+00DE
K0-282E	 U+0166
K0-282F	 U+014A
K0-2831	 U+3260
K0-2832	 U+3261
K0-2833	 U+3262
K0-2834	 U+3263
K0-2835	 U+3264
K0-2836	 U+3265
K0-2837	 U+3266
K0-2838	 U+3267
K0-2839	 U+3268
K0-283A	 U+3269
K0-283B	 U+326A
K0-283C	 U+326B
K0-283D	 U+326C
K0-283E	 U+326D
K0-283F	 U+326E
K0-2840	 U+326F
K0-2841	 U+3270
K0-2842	 U+3271
K0-2843	 U+3272
K0-2844	 U+3273
K0-2845	 U+3274
K0-2846	 U+3275
K0-2847	 U+3276
K0-2848	 U+3277
K0-2849	 U+3278
K0-284A	 U+3279
K0-284B	 U+327A
K0-284C	 U+327B
K0-284D	 U+24D0
K0-284E	 U+24D1
K0-284F	 U+24D2
K0-2850	 U+24D3
K0-2851	 U+24D4
K0-2852	 U+24D5
K0-2853	 U+24D6
K0-2854	 U+24D7
K0-2855	 U+24D8
K0-2856	 U+24D9
K0-2857	 U+24DA
K0-2858	 U+24DB
K0-2859	 U+24DC
K0-285A	 U+24DD
K0-285B	 U+24DE
K0-285C	 U+24DF
K0-285D	 U+24E0
K0-285E	 U+24E1
K0-285F	 U+24E2
K0-2860	 U+24E3
K0-2861	 U+24E4
K0-2862	 U+24E5
K0-2863	 U+24E6
K0-2864	 U+24E7
K0-2865	 U+24E8
K0-2866	 U+24E9
K0-2867	 U+2460
K0-2868	 U+2461
K0-2869	 U+2462
K0-286A	 U+2463
K0-286B	 U+2464
K0-286C	 U+2465
K0-286D	 U+2466
K0-286E	 U+2467
K0-286F	 U+2468
K0-2870	 U+2469
K0-2871	 U+246A
K0-2872	 U+246B
K0-2873	 U+246C
K0-2874	 U+246D
K0-2875	 U+246E
K0-2876	 U+00BD
K0-2877	 U+2153
K0-2878	 U+2154
K0-2879	 U+00BC
K0-287A	 U+00BE
K0-287B	 U+215B
K0-287C	 U+215C
K0-287D	 U+215D
K0-287E	 U+215E
K0-2921	 U+00E6
K0-2922	 U+0111
K0-2923	 U+00F0
K0-2924	 U+0127
K0-2925	 U+0131
K0-2926	 U+0133
K0-2927	 U+0138
K0-2928	 U+0140
K0-2929	 U+0142
K0-292A	 U+00F8
K0-292B	 U+0153
K0-292C	 U+00DF
K0-292D	 U+00FE
K0-292E	 U+0167
K0-292F	 U+014B
K0-2930	 U+0149
K0-2931	 U+3200
K0-2932	 U+3201
K0-2933	 U+3202
K0-2934	 U+3203
K0-2935	 U+3204
K0-2936	 U+3205
K0-2937	 U+3206
K0-2938	 U+3207
K0-2939	 U+3208
K0-293A	 U+3209
K0-293B	 U+320A
K0-293C	 U+320B
K0-293D	 U+320C
K0-293E	 U+320D
K0-293F	 U+320E
K0-2940	 U+320F
K0-2941	 U+3210
K0-2942	 U+3211
K0-2943	 U+3212
K0-2944	 U+3213
K0-2945	 U+3214
K0-2946	 U+3215
K0-2947	 U+3216
K0-2948	 U+3217
K0-2949	 U+3218
K0-294A	 U+3219
K0-294B	 U+321A
K0-294C	 U+321B
K0-294D	 U+249C
K0-294E	 U+249D
K0-294F	 U+249E
K0-2950	 U+249F
K0-2951	 U+24A0
K0-2952	 U+24A1
K0-2953	 U+24A2
K0-2954	 U+24A3
K0-2955	 U+24A4
K0-2956	 U+24A5
K0-2957	 U+24A6
K0-2958	 U+24A7
K0-2959	 U+24A8
K0-295A	 U+24A9
K0-295B	 U+24AA
K0-295C	 U+24AB
K0-295D	 U+24AC
K0-295E	 U+24AD
K0-295F	 U+24AE
K0-2960	 U+24AF
K0-2961	 U+24B0
K0-2962	 U+24B1
K0-2963	 U+24B2
K0-2964	 U+24B3
K0-2965	 U+24B4
K0-2966	 U+24B5
K0-2967	 U+2474
K0-2968	 U+2475
K0-2969	 U+2476
K0-296A	 U+2477
K0-296B	 U+2478
K0-296C	 U+2479
K0-296D	 U+247A
K0-296E	 U+247B
K0-296F	 U+247C
K0-2970	 U+247D
K0-2971	 U+247E
K0-2972	 U+247F
K0-2973	 U+2480
K0-2974	 U+2481
K0-2975	 U+2482
K0-2976	 U+00B9
K0-2977	 U+00B2
K0-2978	 U+00B3
K0-2979	 U+2074
K0-297A	 U+207F
K0-297B	 U+2081
K0-297C	 U+2082
K0-297D	 U+2083
K0-297E	 U+2084
K0-2A21	 U+3041
K0-2A22	 U+3042
K0-2A23	 U+3043
K0-2A24	 U+3044
K0-2A25	 U+3045
K0-2A26	 U+3046
K0-2A27	 U+3047
K0-2A28	 U+3048
K0-2A29	 U+3049
K0-2A2A	 U+304A
K0-2A2B	 U+304B
K0-2A2C	 U+304C
K0-2A2D	 U+304D
K0-2A2E	 U+304E
K0-2A2F	 U+304F
K0-2A30	 U+3050
K0-2A31	 U+3051
K0-2A32	 U+3052
K0-2A33	 U+3053
K0-2A34	 U+3054
K0-2A35	 U+3055
K0-2A36	 U+3056
K0-2A37	 U+3057
K0-2A38	 U+3058
K0-2A39	 U+3059
K0-2A3A	 U+305A
K0-2A3B	 U+305B
K0-2A3C	 U+305C
K0-2A3D	 U+305D
K0-2A3E	 U+305E
K0-2A3F	 U+305F
K0-2A40	 U+3060
K0-2A41	 U+3061
K0-2A42	 U+3062
K0-2A43	 U+3063
K0-2A44	 U+3064
K0-2A45	 U+3065
K0-2A46	 U+3066
K0-2A47	 U+3067
K0-2A48	 U+3068
K0-2A49	 U+3069
K0-2A4A	 U+306A
K0-2A4B	 U+306B
K0-2A4C	 U+306C
K0-2A4D	 U+306D
K0-2A4E	 U+306E
K0-2A4F	 U+306F
K0-2A50	 U+3070
K0-2A51	 U+3071
K0-2A52	 U+3072
K0-2A53	 U+3073
K0-2A54	 U+3074
K0-2A55	 U+3075
K0-2A56	 U+3076
K0-2A57	 U+3077
K0-2A58	 U+3078
K0-2A59	 U+3079
K0-2A5A	 U+307A
K0-2A5B	 U+307B
K0-2A5C	 U+307C
K0-2A5D	 U+307D
K0-2A5E	 U+307E
K0-2A5F	 U+307F
K0-2A60	 U+3080
K0-2A61	 U+3081
K0-2A62	 U+3082
K0-2A63	 U+3083
K0-2A64	 U+3084
K0-2A65	 U+3085
K0-2A66	 U+3086
K0-2A67	 U+3087
K0-2A68	 U+3088
K0-2A69	 U+3089
K0-2A6A	 U+308A
K0-2A6B	 U+308B
K0-2A6C	 U+308C
K0-2A6D	 U+308D
K0-2A6E	 U+308E
K0-2A6F	 U+308F
K0-2A70	 U+3090
K0-2A71	 U+3091
K0-2A72	 U+3092
K0-2A73	 U+3093
K0-2B21	 U+30A1
K0-2B22	 U+30A2
K0-2B23	 U+30A3
K0-2B24	 U+30A4
K0-2B25	 U+30A5
K0-2B26	 U+30A6
K0-2B27	 U+30A7
K0-2B28	 U+30A8
K0-2B29	 U+30A9
K0-2B2A	 U+30AA
K0-2B2B	 U+30AB
K0-2B2C	 U+30AC
K0-2B2D	 U+30AD
K0-2B2E	 U+30AE
K0-2B2F	 U+30AF
K0-2B30	 U+30B0
K0-2B31	 U+30B1
K0-2B32	 U+30B2
K0-2B33	 U+30B3
K0-2B34	 U+30B4
K0-2B35	 U+30B5
K0-2B36	 U+30B6
K0-2B37	 U+30B7
K0-2B38	 U+30B8
K0-2B39	 U+30B9
K0-2B3A	 U+30BA
K0-2B3B	 U+30BB
K0-2B3C	 U+30BC
K0-2B3D	 U+30BD
K0-2B3E	 U+30BE
K0-2B3F	 U+30BF
K0-2B40	 U+30C0
K0-2B41	 U+30C1
K0-2B42	 U+30C2
K0-2B43	 U+30C3
K0-2B44	 U+30C4
K0-2B45	 U+30C5
K0-2B46	 U+30C6
K0-2B47	 U+30C7
K0-2B48	 U+30C8
K0-2B49	 U+30C9
K0-2B4A	 U+30CA
K0-2B4B	 U+30CB
K0-2B4C	 U+30CC
K0-2B4D	 U+30CD
K0-2B4E	 U+30CE
K0-2B4F	 U+30CF
K0-2B50	 U+30D0
K0-2B51	 U+30D1
K0-2B52	 U+30D2
K0-2B53	 U+30D3
K0-2B54	 U+30D4
K0-2B55	 U+30D5
K0-2B56	 U+30D6
K0-2B57	 U+30D7
K0-2B58	 U+30D8
K0-2B59	 U+30D9
K0-2B5A	 U+30DA
K0-2B5B	 U+30DB
K0-2B5C	 U+30DC
K0-2B5D	 U+30DD
K0-2B5E	 U+30DE
K0-2B5F	 U+30DF
K0-2B60	 U+30E0
K0-2B61	 U+30E1
K0-2B62	 U+30E2
K0-2B63	 U+30E3
K0-2B64	 U+30E4
K0-2B65	 U+30E5
K0-2B66	 U+30E6
K0-2B67	 U+30E7
K0-2B68	 U+30E8
K0-2B69	 U+30E9
K0-2B6A	 U+30EA
K0-2B6B	 U+30EB
K0-2B6C	 U+30EC
K0-2B6D	 U+30ED
K0-2B6E	 U+30EE
K0-2B6F	 U+30EF
K0-2B70	 U+30F0
K0-2B71	 U+30F1
K0-2B72	 U+30F2
K0-2B73	 U+30F3
K0-2B74	 U+30F4
K0-2B75	 U+30F5
K0-2B76	 U+30F6
K0-2C21	 U+0410
K0-2C22	 U+0411
K0-2C23	 U+0412
K0-2C24	 U+0413
K0-2C25	 U+0414
K0-2C26	 U+0415
K0-2C27	 U+0401
K0-2C28	 U+0416
K0-2C29	 U+0417
K0-2C2A	 U+0418
K0-2C2B	 U+0419
K0-2C2C	 U+041A
K0-2C2D	 U+041B
K0-2C2E	 U+041C
K0-2C2F	 U+041D
K0-2C30	 U+041E
K0-2C31	 U+041F
K0-2C32	 U+0420
K0-2C33	 U+0421
K0-2C34	 U+0422
K0-2C35	 U+0423
K0-2C36	 U+0424
K0-2C37	 U+0425
K0-2C38	 U+0426
K0-2C39	 U+0427
K0-2C3A	 U+0428
K0-2C3B	 U+0429
K0-2C3C	 U+042A
K0-2C3D	 U+042B
K0-2C3E	 U+042C
K0-2C3F	 U+042D
K0-2C40	 U+042E
K0-2C41	 U+042F
K0-2C51	 U+0430
K0-2C52	 U+0431
K0-2C53	 U+0432
K0-2C54	 U+0433
K0-2C55	 U+0434
K0-2C56	 U+0435
K0-2C57	 U+0451
K0-2C58	 U+0436
K0-2C59	 U+0437
K0-2C5A	 U+0438
K0-2C5B	 U+0439
K0-2C5C	 U+043A
K0-2C5D	 U+043B
K0-2C5E	 U+043C
K0-2C5F	 U+043D
K0-2C60	 U+043E
K0-2C61	 U+043F
K0-2C62	 U+0440
K0-2C63	 U+0441
K0-2C64	 U+0442
K0-2C65	 U+0443
K0-2C66	 U+0444
K0-2C67	 U+0445
K0-2C68	 U+0446
K0-2C69	 U+0447
K0-2C6A	 U+0448
K0-2C6B	 U+0449
K0-2C6C	 U+044A
K0-2C6D	 U+044B
K0-2C6E	 U+044C
K0-2C6F	 U+044D
K0-2C70	 U+044E
K0-2C71	 U+044F
K0-3021	 U+AC00
K0-3022	 U+AC01
K0-3023	 U+AC04
K0-3024	 U+AC07
K0-3025	 U+AC08
K0-3026	 U+AC09
K0-3027	 U+AC0A
K0-3028	 U+AC10
K0-3029	 U+AC11
K0-302A	 U+AC12
K0-302B	 U+AC13
K0-302C	 U+AC14
K0-302D	 U+AC15
K0-302E	 U+AC16
K0-302F	 U+AC17
K0-3030	 U+AC19
K0-3031	 U+AC1A
K0-3032	 U+AC1B
K0-3033	 U+AC1C
K0-3034	 U+AC1D
K0-3035	 U+AC20
K0-3036	 U+AC24
K0-3037	 U+AC2C
K0-3038	 U+AC2D
K0-3039	 U+AC2F
K0-303A	 U+AC30
K0-303B	 U+AC31
K0-303C	 U+AC38
K0-303D	 U+AC39
K0-303E	 U+AC3C
K0-303F	 U+AC40
K0-3040	 U+AC4B
K0-3041	 U+AC4D
K0-3042	 U+AC54
K0-3043	 U+AC58
K0-3044	 U+AC5C
K0-3045	 U+AC70
K0-3046	 U+AC71
K0-3047	 U+AC74
K0-3048	 U+AC77
K0-3049	 U+AC78
K0-304A	 U+AC7A
K0-304B	 U+AC80
K0-304C	 U+AC81
K0-304D	 U+AC83
K0-304E	 U+AC84
K0-304F	 U+AC85
K0-3050	 U+AC86
K0-3051	 U+AC89
K0-3052	 U+AC8A
K0-3053	 U+AC8B
K0-3054	 U+AC8C
K0-3055	 U+AC90
K0-3056	 U+AC94
K0-3057	 U+AC9C
K0-3058	 U+AC9D
K0-3059	 U+AC9F
K0-305A	 U+ACA0
K0-305B	 U+ACA1
K0-305C	 U+ACA8
K0-305D	 U+ACA9
K0-305E	 U+ACAA
K0-305F	 U+ACAC
K0-3060	 U+ACAF
