C2-2460	 U+7263
C2-2461	 U+72BF
C2-2462	 U+72BD
C2-2463	 U+72C3
C2-2464	 U+72C6
C2-2465	 U+72C1
C2-2466	 U+72BA
C2-2467	 U+72C5
C2-2468	 U+7395
C2-2469	 U+7397
C2-246A	 U+7393
C2-246B	 U+7394
C2-246C	 U+7392
C2-246D	 U+753A
C2-246E	 U+7539
C2-246F	 U+7594
C2-2470	 U+7595
C2-2471	 U+7681
C2-2472	 U+793D
C2-2473	 U+8034
C2-2474	 U+8095
C2-2475	 U+8099
C2-2476	 U+8090
C2-2477	 U+8092
C2-2478	 U+809C
C2-2479	 U+8290
C2-247A	 U+828F
C2-247B	 U+8285
C2-247C	 U+828E
C2-247D	 U+8291
C2-247E	 U+8293
C2-2521	 U+828A
C2-2522	 U+8283
C2-2523	 U+8284
C2-2524	 U+8C78
C2-2525	 U+8FC9
C2-2526	 U+8FBF
C2-2527	 U+909F
C2-2528	 U+90A1
C2-2529	 U+90A5
C2-252A	 U+909E
C2-252B	 U+90A7
C2-252C	 U+90A0
C2-252D	 U+9630
C2-252E	 U+9628
C2-252F	 U+962F
C2-2530	 U+962D
C2-2531	 U+4E33
C2-2532	 U+4F98
C2-2533	 U+4F7C
C2-2534	 U+4F85
C2-2535	 U+4F7D
C2-2536	 U+4F80
C2-2537	 U+4F87
C2-2538	 U+4F76
C2-2539	 U+4F74
C2-253A	 U+4F89
C2-253B	 U+4F84
C2-253C	 U+4F77
C2-253D	 U+4F4C
C2-253E	 U+4F97
C2-253F	 U+4F6A
C2-2540	 U+4F9A
C2-2541	 U+4F79
C2-2542	 U+4F81
C2-2543	 U+4F78
C2-2544	 U+4F90
C2-2545	 U+4F9C
C2-2546	 U+4F94
C2-2547	 U+4F9E
C2-2548	 U+4F92
C2-2549	 U+4F82
C2-254A	 U+4F95
C2-254B	 U+4F6B
C2-254C	 U+4F6E
C2-254D	 U+519E
C2-254E	 U+51BC
C2-254F	 U+51BE
C2-2550	 U+5235
C2-2551	 U+5232
C2-2552	 U+5233
C2-2553	 U+5246
C2-2554	 U+5231
C2-2555	 U+52BC
C2-2556	 U+530A
C2-2557	 U+530B
C2-2558	 U+533C
C2-2559	 U+5392
C2-255A	 U+5394
C2-255B	 U+5487
C2-255C	 U+547F
C2-255D	 U+5481
C2-255E	 U+5491
C2-255F	 U+5482
C2-2560	 U+5488
C2-2561	 U+546B
C2-2562	 U+547A
C2-2563	 U+547E
C2-2564	 U+5465
C2-2565	 U+546C
C2-2566	 U+5474
C2-2567	 U+5466
C2-2568	 U+548D
C2-2569	 U+546F
C2-256A	 U+5461
C2-256B	 U+5460
C2-256C	 U+5498
C2-256D	 U+5463
C2-256E	 U+5467
C2-256F	 U+5464
C2-2570	 U+56F7
C2-2571	 U+56F9
C2-2572	 U+576F
C2-2573	 U+5772
C2-2574	 U+576D
C2-2575	 U+576B
C2-2576	 U+5771
C2-2577	 U+5770
C2-2578	 U+5776
C2-2579	 U+5780
C2-257A	 U+5775
C2-257B	 U+577B
C2-257C	 U+5773
C2-257D	 U+5774
C2-257E	 U+5762
C2-2621	 U+5768
C2-2622	 U+577D
C2-2623	 U+590C
C2-2624	 U+5945
C2-2625	 U+59B5
C2-2626	 U+59BA
C2-2627	 U+59CF
C2-2628	 U+59CE
C2-2629	 U+59B2
C2-262A	 U+59CC
C2-262B	 U+59C1
C2-262C	 U+59B6
C2-262D	 U+59BC
C2-262E	 U+59C3
C2-262F	 U+59D6
C2-2630	 U+59B1
C2-2631	 U+59BD
C2-2632	 U+59C0
C2-2633	 U+59C8
C2-2634	 U+59B4
C2-2635	 U+59C7
C2-2636	 U+5B62
C2-2637	 U+5B65
C2-2638	 U+5B93
C2-2639	 U+5B95
C2-263A	 U+5C44
C2-263B	 U+5C47
C2-263C	 U+5CAE
C2-263D	 U+5CA4
C2-263E	 U+5CA0
C2-263F	 U+5CB5
C2-2640	 U+5CAF
C2-2641	 U+5CA8
C2-2642	 U+5CAC
C2-2643	 U+5C9F
C2-2644	 U+5CA3
C2-2645	 U+5CAD
C2-2646	 U+5CA2
C2-2647	 U+5CAA
C2-2648	 U+5CA7
C2-2649	 U+5C9D
C2-264A	 U+5CA5
C2-264B	 U+5CB6
C2-264C	 U+5CB0
C2-264D	 U+5CA6
C2-264E	 U+5E17
C2-264F	 U+5E14
C2-2650	 U+5E19
C2-2651	 U+5F28
C2-2652	 U+5F22
C2-2653	 U+5F23
C2-2654	 U+5F24
C2-2655	 U+5F54
C2-2656	 U+5F82
C2-2657	 U+5F7E
C2-2658	 U+5F7D
C2-2659	 U+5FDE
C2-265A	 U+5FE5
C2-265B	 U+602D
C2-265C	 U+6026
C2-265D	 U+6019
C2-265E	 U+6032
C2-265F	 U+600B
C2-2660	 U+6034
