JC3-45D4	U+537D
JC3-45D5	U+537F
JC3-45D8	U+5387
JC3-45D9	U+5388
JC3-45DA	U+538E
JC3-45DB	U+5393
JC3-45DC	U+5394
JC3-45DD	U+5399
JC3-45DE	U+539D
JC3-45DF	U+53A1
JC3-45E0	U+53AA
JC3-45E1	U+53AB
JC3-45E2	U+53B2
JC3-45E3	U+53B5
JC3-45E4	U+53A9
JC3-45E7	U+53B8
JC3-45E8	U+53BD
JC3-45E9	U+53C5
JC3-45EC	U+53DB
JC3-45ED	U+53C8
JC3-45EE	U+355B
JC3-45EF	U+53CA
JC3-45F0	U+53DE
JC3-45F1	U+53DA
JC3-45F3	U+53DD
JC3-45F4	U+FA38
JC3-45F5	U+569A
JC3-45F6	U+5586
JC3-45F7	U+53E6
JC3-45F8	U+5448
JC3-45F9	U+5433
JC3-45FA	U+54FF
JC3-45FB	U-00020BB7
JC3-45FC	U+543F
JC3-45FD	U+5444
JC3-45FE	U+5510
JC3-46A1	U+5485
JC3-46A2	U+5553
JC3-46A3	U+5468
JC3-46A4	U+5546
JC3-46A5	U+5547
JC3-46A6	U+560F
JC3-46A7	U+569E
JC3-46A8	U+56AD
JC3-46AA	U+5412
JC3-46AB	U+5421
JC3-46AC	U+5427
JC3-46AD	U+5428
JC3-46AE	U+542A
JC3-46AF	U+5435
JC3-46B0	U+5438
JC3-46B1	U+5443
JC3-46B2	U+544C
JC3-46B3	U+544D
JC3-46B4	U+5462
JC3-46B5	U+5463
JC3-46B6	U+5464
JC3-46B7	U+5466
JC3-46B8	U+5469
JC3-46B9	U+546B
JC3-46BA	U+546D
JC3-46BB	U+546E
JC3-46BC	U+547F
JC3-46BD	U+5481
JC3-46BE	U+5483
JC3-46BF	U+5488
JC3-46C0	U+5489
JC3-46C1	U+548A
JC3-46C2	U+5491
JC3-46C3	U+5496
JC3-46C4	U+549C
JC3-46C5	U+549F
JC3-46C6	U+54A1
JC3-46C7	U+54A6
JC3-46C8	U+54A7
JC3-46C9	U+54A9
JC3-46CA	U+54AD
JC3-46CB	U+54B1
JC3-46CC	U+54B2
JC3-46CD	U+54B7
JC3-46CE	U+54B9
JC3-46CF	U+54BA
JC3-46D0	U+54C6
JC3-46D1	U+54CA
JC3-46D2	U+54CD
JC3-46D3	U+54E0
JC3-46D4	U+54EA
JC3-46D5	U+54EC
JC3-46D6	U+5500
JC3-46D7	U+5501
JC3-46D8	U+5505
JC3-46D9	U+5509
JC3-46DA	U+550D
JC3-46DB	U+550E
JC3-46DC	U+552A
JC3-46DD	U+552B
JC3-46DE	U+5533
JC3-46DF	U+5535
JC3-46E0	U+553C
JC3-46E1	U+5549
JC3-46E2	U+554A
JC3-46E3	U+5550
JC3-46E4	U+5561
JC3-46E5	U+5581
JC3-46E6	U+5588
JC3-46E7	U+558E
JC3-46E8	U+5591
JC3-46E9	U+5597
JC3-46EA	U+55A4
JC3-46EB	U+55BB
JC3-46EC	U+55AB
JC3-46ED	U+55AD
JC3-46EE	U+55C3
JC3-46EF	U+55CE
JC3-46F0	U+55D1
JC3-46F1	U+55D2
JC3-46F2	U+55D8
JC3-46F3	U+55DB
JC3-46F4	U+55E9
JC3-46F5	U+55FF
JC3-46F6	U+5605
JC3-46F7	U+FA37
JC3-46F8	U+5608
JC3-46F9	U+560D
JC3-46FA	U+560E
JC3-46FB	U+5610
JC3-46FC	U+5611
JC3-46FD	U+5630
JC3-46FE	U+5635
JC3-47A1	U+5639
JC3-47A2	U+563B
JC3-47A3	U+563F
JC3-47A4	U+5643
JC3-47A5	U+5644
JC3-47A6	U+5649
JC3-47A7	U+564B
JC3-47A8	U+5672
JC3-47A9	U+564D
JC3-47AA	U+564F
JC3-47AB	U+5660
JC3-47AC	U+566D
JC3-47AD	U+566F
JC3-47AE	U+5671
JC3-47AF	U+5676
JC3-47B0	U+568B
JC3-47B1	U+569D
JC3-47B2	U+56AB
JC3-47B3	U+56AC
JC3-47B4	U+56C9
JC3-47B5	U+53F2
JC3-47B6	U+540F
JC3-47B7	U+5669
JC3-47B8	U+FA78
JC3-47B9	U+5516
JC3-47BA	U+5653
JC3-47BB	U+5642
JC3-47BC	U+565B
JC3-47BD	U+56DC
JC3-47BE	U+56E4
JC3-47BF	U+56E7
JC3-47C0	U+56ED
JC3-47C1	U+56F7
JC3-47C2	U+5701
JC3-47C3	U+5702
JC3-47C4	U+570A
JC3-47C5	U+5711
