GTps-k2-92DE	GT-K00308
GTps-k1-9D82	GT-K00309
GTps-k1-91D0	GT-K00310
GTps-k1-8FBC	GT-K00311
GTps-k1-94E2	GT-K00312
GTps-k1-8DF1	GT-K00313
GTps-k2-8BAD	GT-K00314
GTps-k1-9C73	GT-K00315
GTps-k1-8FA8	GT-K00316
GTps-k1-8BF6	GT-K00317
GTps-k2-9077	GT-K00318
GTps-k1-8BEB	GT-K00319
GTps-k2-8B7E	GT-K00320
GTps-02-88FC	GT-K00321
GTps-k1-8C5F	GT-K00322
GTps-07-E95C	GT-K00323
GTps-k1-8BBD	GT-K00324
GTps-k1-89CF	GT-K00325
GTps-k1-E48A	GT-K00326
GTps-k1-8E57	GT-K00327
GTps-k1-91DB	GT-K00328
GTps-09-8A8E	GT-K00329
GTps-k1-9997	GT-K00330
GTps-k1-8FA1	GT-K00331
GTps-k1-E489	GT-K00332
GTps-k1-917D	GT-K00333
GTps-03-9E92	GT-K00334
GTps-k1-91F7	GT-K00335
GTps-k2-948E	GT-K00336
GTps-k1-9FB9	GT-K00337
GTps-k1-E269	GT-K00338
GTps-k1-E0F3	GT-K00339
GTps-k1-9C77	GT-K00340
GTps-k1-E3CA	GT-K00341
GTps-k1-8D73	GT-K00342
GTps-k1-8A74	GT-K00343
GTps-k1-8CA0	GT-K00344
GTps-02-967C	GT-K00345
GTps-k2-8CB2	GT-K00346
GTps-k1-9EC3	GT-K00347
GTps-k1-8DC2	GT-K00348
GTps-k1-8B77	GT-K00349
GTps-02-956F	GT-K00350
GTps-k2-9475	GT-K00351
GTps-k1-E743	GT-K00352
GTps-k1-88DE	GT-K00353
GTps-k1-9467	GT-K00354
GTps-k1-89E1	GT-K00355
GTps-k2-8984	GT-K00356
GTps-k2-8E57	GT-K00357
GTps-k1-89C2	GT-K00358
GTps-02-88D4	GT-K00359
GTps-k1-91F8	GT-K00360
GTps-k1-9F48	GT-K00361
GTps-k1-9171	GT-K00362
GTps-k2-8BAC	GT-K00363
GTps-k1-9575	GT-K00364
GTps-09-985D	GT-K00365
GTps-k1-90AC	GT-K00366
GTps-k1-97D5	GT-K00367
GTps-k1-90BC	GT-K00368
GTps-k1-E54B	GT-K00369
GTps-k1-88CC	GT-K00370
GTps-k1-9B42	GT-K00371
GTps-k1-8B43	GT-K00372
GTps-k1-93AD	GT-K00373
GTps-k1-91AC	GT-K00374
GTps-k2-9287	GT-K00375
GTps-k1-97AC	GT-K00376
GTps-k1-8B79	GT-K00377
GTps-k1-8CF1	GT-K00378
GTps-k1-97AD	GT-K00379
GTps-k1-E6F4	GT-K00380
GTps-k1-8DD4	GT-K00381
GTps-04-E4A5	GT-K00382
GTps-k2-9097	GT-K00383
GTps-k1-917E	GT-K00384
GTps-k1-967E	GT-K00385
GTps-k1-9540	GT-K00386
GTps-k1-8FAB	GT-K00387
GTps-k1-9B6A	GT-K00388
GTps-k1-8A95	GT-K00389
GTps-k2-9280	GT-K00390
GTps-k1-9C74	GT-K00391
GTps-02-88A7	GT-K00392
GTps-k1-E462	GT-K00393
GTps-k1-E6FA	GT-K00394
GTps-01-88E4	GT-K00395
GTps-01-88F2	GT-K00396
GTps-01-88F8	GT-K00397
GTps-01-894E	GT-K00398
GTps-01-895D	GT-K00399
GTps-01-897E	GT-K00400
GTps-01-89A4	GT-K00401
GTps-k1-8AE5	GT-K00402
GTps-01-89BB	GT-K00403
GTps-01-89CE	GT-K00404
GTps-k1-8ABD	GT-K00405
GTps-04-E2E5	GT-K00406
GTps-01-89EE	GT-K00407
GTps-01-8AA0	GT-K00408
GTps-01-8B77	GT-K00409
GTps-01-8B8D	GT-K00410
GTps-k1-8B44	GT-K00411
GTps-01-8BA5	GT-K00412
GTps-01-8BD2	GT-K00413
GTps-01-8BE6	GT-K00414
GTps-01-8C87	GT-K00415
GTps-01-8C8E	GT-K00416
GTps-k1-8C9D	GT-K00417
GTps-01-8CA2	GT-K00418
GTps-k1-8AC4	GT-K00419
GTps-09-976A	GT-K00420
GTps-02-89AF	GT-K00421
GTps-01-8CB3	GT-K00422
GTps-k1-91E1	GT-K00423
GTps-k1-9E78	GT-K00424
GTps-01-8CB6	GT-K00425
GTps-01-8CCB	GT-K00426
GTps-03-9E48	GT-K00427
GTps-01-8CDC	GT-K00428
GTps-01-8CDD	GT-K00429
GTps-01-8CDF	GT-K00430
GTps-02-8ED6	GT-K00431
GTps-k1-88D0	GT-K00432
GTps-01-8CF9	GT-K00433
GTps-01-8D45	GT-K00434
GTps-01-8DA1	GT-K00435
GTps-03-8FEF	GT-K00436
GTps-01-8E78	GT-K00437
GTps-01-8E7E	GT-K00438
GTps-k1-8AFB	GT-K00439
GTps-k1-8BF3	GT-K00440
GTps-01-8E81	GT-K00441
GTps-01-8EDA	GT-K00442
GTps-01-8EE8	GT-K00443
GTps-01-8F59	GT-K00444
GTps-01-8FA1	GT-K00445
GTps-01-8FAD	GT-K00446
GTps-01-8FE7	GT-K00447
GTps-k1-8994	GT-K00448
GTps-09-9654	GT-K00449
GTps-01-9053	GT-K00450
GTps-01-906D	GT-K00451
GTps-01-9070	GT-K00452
GTps-01-9085	GT-K00453
GTps-k1-8A8B	GT-K00454
GTps-k1-9666	GT-K00455
GTps-01-90D8	GT-K00456
GTps-01-916F	GT-K00457
GTps-k2-90D8	GT-K00458
GTps-01-91BE	GT-K00459
GTps-01-924F	GT-K00460
GTps-k2-8E58	GT-K00461
GTps-k2-928D	GT-K00462
GTps-k1-8E61	GT-K00463
GTps-01-9286	GT-K00464
GTps-01-92A2	GT-K00465
GTps-01-92DC	GT-K00466
GTps-01-9356	GT-K00467
GTps-k2-9297	GT-K00468
GTps-01-936C	GT-K00469
GTps-01-93D4	GT-K00470
GTps-01-93F5	GT-K00471
GTps-01-93F9	GT-K00472
GTps-01-93FA	GT-K00473
GTps-01-9462	GT-K00474
GTps-01-94BD	GT-K00475
GTps-k1-91AD	GT-K00476
GTps-01-94E4	GT-K00477
GTps-02-9497	GT-K00478
GTps-01-9543	GT-K00479
GTps-01-9573	GT-K00480
GTps-01-9576	GT-K00481
GTps-k1-8AE4	GT-K00482
GTps-04-E1EF	GT-K00483
GTps-k1-8F6F	GT-K00484
GTps-02-90AF	GT-K00485
GTps-k1-8A77	GT-K00486
GTps-01-95B6	GT-K00487
GTps-k1-8AB5	GT-K00488
GTps-k1-8F92	GT-K00489
GTps-01-95FB	GT-K00490
GTps-01-9652	GT-K00491
GTps-01-96D1	GT-K00492
GTps-01-96D8	GT-K00493
GTps-k1-8A86	GT-K00494
GTps-k1-8ACD	GT-K00495
GTps-k1-8D6C	GT-K00496
GTps-k1-9EC8	GT-K00497
GTps-k1-8CC6	GT-K00498
GTps-k1-9468	GT-K00499
GTps-04-E1AD	GT-K00500
GTps-01-96DC	GT-K00501
GTps-01-96DE	GT-K00502
GTps-01-96EF	GT-K00503
GTps-01-9746	GT-K00504
GTps-01-975C	GT-K00505
GTps-01-985A	GT-K00506
GTps-01-98A0	GT-K00507
GTps-01-98B4	GT-K00508
GTps-01-98B8	GT-K00509
GTps-k1-8BB5	GT-K00510
GTps-01-98B9	GT-K00511
GTps-01-98BA	GT-K00512
GTps-k1-E9D1	GT-K00513
GTps-01-98BB	GT-K00514
GTps-01-98BC	GT-K00515
GTps-01-9961	GT-K00516
GTps-01-99BE	GT-K00517
GTps-01-99BF	GT-K00518
GTps-01-99C4	GT-K00519
GTps-k2-94BB	GT-K00520
GTps-k1-E793	GT-K00521
GTps-k1-9199	GT-K00522
GTps-01-9AED	GT-K00523
GTps-01-9AEE	GT-K00524
GTps-01-9B9A	GT-K00525
GTps-01-9C56	GT-K00526
GTps-01-9CF7	GT-K00527
GTps-01-9D48	GT-K00528
GTps-01-9DBB	GT-K00529
GTps-01-9DBC	GT-K00530
GTps-k1-E792	GT-K00531
GTps-01-9DD9	GT-K00532
GTps-01-9DDA	GT-K00533
